   188 	    21     4	   2.067e+00  -9.340e-02	  1.482e-01   3.122e-02   1.515e-01    1
    20 	    22     3	   2.185e-01   8.203e-01	 -3.636e-01   1.060e-01   3.788e-01    1
    83 	    22     2	   2.789e-01   6.002e-01	 -5.118e-01   8.999e-02   5.197e-01    1
   138 	    22     1	  -2.992e-01   2.154e-01	 -3.318e-01   1.925e-02   3.324e-01    1
    21 	    23     3	   1.862e+00   1.076e+00	  6.376e-02   7.918e-02   1.017e-01    1
    84 	    23     2	   1.854e+00   5.703e-01	  4.007e-02  -7.877e-03   4.084e-02    1
   139 	    23     1	   7.573e-01   6.603e-01	 -5.854e-03   1.076e-02   1.225e-02    1
   189 	    23     4	   1.642e+00   2.397e-01	 -8.675e-02   9.534e-02   1.289e-01    1
    22 	    24     3	   2.156e+00   8.238e-01	  2.480e-01  -7.435e-02   2.589e-01    1
    85 	    24     2	   2.015e+00   5.031e-01	  8.415e-02   5.729e-02   1.018e-01    1
   140 	    24     1	   9.809e-01   4.849e-01	  1.207e-01  -6.076e-02   1.351e-01    1
   190 	    24     4	   1.602e+00   1.287e-01	 -2.120e-01   1.147e-01   2.410e-01    1
    23 	    25     3	   9.213e-01  -2.774e-01	 -2.298e-01  -3.862e-01   4.494e-01    1
    24 	    26     3	   7.361e-01   4.281e-01	 -1.613e-01   3.970e-02   1.661e-01    1
   191 	    26     4	   8.890e-01  -4.903e-01	 -4.009e-01   5.580e-02   4.047e-01    1
    25 	    27     3	   1.404e+00   1.102e-02	 -2.736e-01  -2.238e-01   3.535e-01    1
    86 	    27     2	   1.395e+00  -1.057e+00	 -4.603e-01  -4.980e-01   6.782e-01    1
   141 	    27     1	   1.318e+00   3.513e-01	  6.724e-01   6.196e-01   9.143e-01    1
   192 	    27     4	   1.188e+00  -1.329e+00	 -3.222e-01  -3.049e-01   4.436e-01    1
    26 	    28     3	   1.630e+00   5.352e-01	  1.414e-01   1.965e-02   1.427e-01    1
    87 	    28     2	   1.454e+00  -1.436e-02	 -1.402e-01   1.195e-02   1.407e-01    1
   142 	    28     1	   4.138e-01  -6.200e-02	 -1.090e-01  -1.331e-01   1.720e-01    1
   193 	    28     4	   1.206e+00  -5.358e-01	 -2.629e-01  -4.365e-02   2.665e-01    1
    27 	    29     3	   2.218e+00   9.998e-01	  2.795e-01   3.740e-02   2.819e-01    1
    88 	    29     2	   2.309e+00   7.207e-01	  2.147e-01   2.961e-01   3.658e-01    1
    28 	    30     3	   1.802e+00   6.553e-01	  5.183e-03   9.336e-02   9.350e-02    1
